eye_width,face_height,label
26.123013911190576,145.38225476308995,1
82.01114100421336,432.1955575893857,1
25.006600226492328,143.7358688706476,1
106.23907550890804,567.6424931239733,1
30.98769809111628,177.1016657177453,1
96.75907762348129,520.0240379059414,1
63.0696805958642,366.9795634636894,1
59.68208126889938,358.8606972071475,1
86.08922860144736,480.0666620376799,1
83.86402444771703,432.5598224523401,1
77.24410340787784,418.9367494025799,1
56.64338310867522,302.5128096461372,1
99.61504737570178,575.0034782503494,1
17.235154228233583,97.49358953285082,1
65.66239494211462,369.6877060438986,1
24.789143362774258,142.70599146496969,1
59.34698499498595,419.8761722222398,1
117.9407845873549,646.0789425449494,1
63.15592057792644,372.6835118434944,1
21.5524865872714,124.0,1
53.380549717384355,305.1245647272602,1
93.64946729267935,488.20077836890016,1
64.96958276325414,362.1988404178014,1
85.79933431988022,494.4623342581313,1
65.85087875998558,400.6045431594604,1
88.60276260343113,495.22722057657535,1
92.11611191159108,526.2708428176503,1
26.123013911190576,145.38225476308995,1
98.45105260544813,509.7332635800807,1
80.63613840487344,451.2427284732686,1
67.93487001816727,385.873036114212,1
15.925001949012602,89.5377015563835,1
113.83841225955777,634.0,1
56.64338310867522,302.5128096461372,1
53.380549717384355,305.1245647272602,1
54.829358307373624,321.2366728753117,1
75.90387874657833,422.1705816373282,1
53.380549717384355,305.1245647272602,1
53.380549717384355,305.1245647272602,1
20.641750400280348,131.00381673829202,1
49.85902763010702,307.4703237712544,1
63.047551187035594,338.4272447661388,1
53.380549717384355,305.1245647272602,1
117.1570436723989,611.117828245912,1
62.90348619533938,382.1426435246399,1
34.19546066829024,194.3707796969493,1
66.52665965204764,397.7851178714458,1
97.17432200764424,564.0221626851201,1
67.13935409759509,406.3594467955679,1
106.97116826805137,593.0303533546997,1
49.85902763010702,307.4703237712544,1
66.18677868818585,382.0471175130105,1
